filename,fc,ml,cc
Config.java,52,553,12
DatabaseDescriptor.java,87,2092,471
TransparentDataEncryptionOptions.java,1,76,10
CipherFactory.java,3,180,16
EncryptionContext.java,2,184,30
JKSKeyProvider.java,3,101,8
KeyProvider.java,1,33,0
cassandra.keystore,2,0,0
cassandra_encryption.yaml,1,14,0
CipherFactoryTest.java,4,118,10
EncryptionContextGenerator.java,2,61,4
JKSKeyProviderTest.java,1,52,3
Util.java,19,314,94
WaitQueueTest.java,2,95,13
ColumnFamilyStore.java,89,1966,373
RangeTombstoneList.java,6,112,141
TokenSerializer.java,2,12,5
DataIntegrityMetadata.java,5,105,24
DataOutputBuffer.java,13,327,27
TypeSerializer.java,2,15,3
ByteBufferUtil.java,10,195,84
Hex.java,2,16,25
CommitLogFailurePolicyTest.java,1,64,5
SSTableLoaderTest.java,4,92,13
CHANGES.txt,1534,2467,0
PartitionColumns.java,2,21,49
AbstractBTreePartition.java,11,132,71
AtomicBTreePartition.java,4,140,47
CachedBTreePartition.java,2,8,17
FilteredPartition.java,2,6,4
ImmutableBTreePartition.java,2,12,8
PartitionUpdate.java,19,441,99
ma-1-big-CompressionInfo.db,6,0,0
ma-1-big-Data.db,8,0,0
ma-1-big-Digest.crc32,8,12,0
ma-1-big-Statistics.db,8,0,0
ma-1-big-TOC.txt,8,64,0
CassandraDaemon.java,51,1001,117
DataResource.java,1,29,42
CFMetaData.java,32,581,283
TimeFcts.java,4,48,28
ModificationStatement.java,26,319,127
SelectStatement.java,44,1174,177
CompositeType.java,6,94,85
UUIDType.java,1,2,24
UUIDSerializer.java,1,2,10
ClientState.java,9,172,78
UUIDGen.java,11,116,39
UUIDTests.java,2,67,12
ScheduledExecutors.java,6,38,1
UntypedResultSet.java,3,9,65
PartitionRangeReadCommand.java,14,239,55
ReadCommand.java,36,642,227
ReadCommandVerbHandler.java,5,23,4
ReadExecutionController.java,3,30,17
ReadQuery.java,5,42,1
SinglePartitionNamesCommand.java,1,2,49
SinglePartitionReadCommand.java,38,994,157
SinglePartitionSliceCommand.java,2,9,29
Slices.java,8,120,140
ClusteringIndexNamesFilter.java,8,96,39
ColumnFilter.java,15,640,85
ApproximateTime.java,2,63,2
ConstructionTime.java,2,82,0
Monitorable.java,3,38,0
MonitorableImpl.java,3,151,24
MonitoringState.java,1,26,0
MonitoringTask.java,4,549,48
View.java,26,1060,32
ViewBuilder.java,14,262,23
Index.java,12,179,2
CassandraIndexSearcher.java,2,22,17
CompositesSearcher.java,11,484,27
KeysSearcher.java,8,63,21
IAsyncCallback.java,2,9,2
IAsyncCallbackWithFailure.java,2,6,0
IVerbHandler.java,2,6,0
IncomingTcpConnection.java,11,64,27
MessageDeliveryTask.java,7,128,13
MessageIn.java,10,178,27
MessagingService.java,36,574,165
SchemaKeyspace.java,32,766,189
ByteSerializer.java,1,2,10
ReadCallback.java,8,61,43
StorageProxy.java,53,1667,377
AbstractQueryPager.java,11,155,36
MultiPartitionPager.java,8,123,31
QueryPager.java,3,34,1
FBUtilities.java,24,380,152
NanoTimeToCurrentTimeMillis.java,3,64,5
logback-test.xml,5,13,0
KeyspaceTest.java,6,135,58
ReadCommandTest.java,6,552,14
RepairedDataTombstonesTest.java,3,97,43
SecondaryIndexTest.java,32,1310,27
SinglePartitionSliceCommandTest.java,10,329,32
MonitoringTaskTest.java,3,563,37
HintTest.java,4,173,16
StubIndex.java,6,51,21
CassandraIndexTest.java,14,251,60
SSTableReaderTest.java,8,385,44
DataResolverTest.java,11,499,65
QueryPagerTest.java,6,155,45
NanoTimeToCurrentTimeMillisTest.java,2,9,5
build.xml,206,2869,0
AutoSavingCache.java,11,97,58
OHCProvider.java,2,5,43
Clustering.java,4,175,25
Memtable.java,18,748,85
ReadResponse.java,11,269,66
SystemKeyspace.java,31,481,159
WindowsFailedSnapshotTracker.java,3,85,10
CompactionManager.java,74,1279,265
Scrubber.java,21,433,138
Upgrader.java,4,12,9
CompactionAwareWriter.java,9,151,26
LifecycleTransaction.java,9,101,90
PurgingPartitionIterator.java,1,2,20
ChecksummedDataInput.java,7,236,25
HintsBuffer.java,2,7,31
HintsReader.java,11,156,47
HintsWriteExecutor.java,5,37,28
HintsWriter.java,7,100,30
LegacyHintsMigrator.java,3,23,26
SSTableRewriter.java,11,126,60
SSTableTxnWriter.java,6,59,15
SimpleSSTableMultiWriter.java,5,28,14
SegmentedFile.java,6,390,41
IncomingStreamingConnection.java,7,52,12
PagingState.java,5,322,81
StreamReader.java,15,206,45
CompressedStreamReader.java,10,119,14
PrepareMessage.java,5,33,8
ReceivedMessage.java,1,1,3
RetryMessage.java,2,5,3
BytesReadTracker.java,2,32,0
Transactional.java,2,13,17
RealTransactionsTest.java,5,13,16
SSTableRewriterTest.java,11,372,86
Stress.java,7,57,22
StressAction.java,11,409,58
StressGraph.java,7,316,32
StressMetrics.java,8,491,46
CliOption.java,4,18,6
SettingsGraph.java,3,140,14
SettingsLog.java,5,62,15
StressSettings.java,7,148,53
MultiPrintStream.java,2,576,0
graph.html,2,684,0
changelog,96,526,0
JavaSourceUDFFactory.java,1,13,79
CompactionController.java,15,272,64
RowCacheTest.java,10,362,24
CompactionsPurgeTest.java,5,147,26
CQLSSTableWriter.java,13,662,49
CQLSSTableWriterTest.java,14,838,33
AbstractColumnFamilyInputFormat.java,4,116,37
CqlRecordWriter.java,6,325,72
CqlNativeStorage.java,2,10,228
